"Part", "Value", "Device", "Package", "Description", "COLOR", "TP_SIGNAL_NAME", 
"+5V", "TEMT1020", "TEMT1020", "TEMT1020", "", "", "", 
"C1", "10uF", "C-EUC0805", "C0805", "CAPACITOR, European symbol", "", "", 
"C2", "10uF", "C-EUC0805", "C0805", "CAPACITOR, European symbol", "", "", 
"C3", "10uF", "C-EUC0805", "C0805", "CAPACITOR, European symbol", "", "", 
"CX0", "22pF", "C-EUC0603", "C0603", "CAPACITOR, European symbol", "", "", 
"CX1", "22pF", "C-EUC0603", "C0603", "CAPACITOR, European symbol", "", "", 
"IC1", "75ALS176AD", "75ALS176AD", "SO-08", "DIFFERENTIAL BUS TRANSCEIVERS", "", "", 
"L1", "WS2812B", "WS2812B", "WS2812B", "", "", "", 
"L2", "WS2812B", "WS2812B", "WS2812B", "", "", "", 
"L3", "WS2812B", "WS2812B", "WS2812B", "", "", "", 
"L4", "WS2812B", "WS2812B", "WS2812B", "", "", "", 
"LED1", "LG_T679-E1F1-1", "LG_T679-E1F1-1", "PLCC2", "LC TOPLED® Low Current LED", "green", "", 
"LED2", "LG_T679-E1F1-1", "LG_T679-E1F1-1", "PLCC2", "LC TOPLED® Low Current LED", "green", "", 
"LED3", "", "LED0603", "LED-0603", "LEDs", "", "", 
"LED4", "LG_T679-E1F1-1", "LG_T679-E1F1-1", "PLCC2", "LC TOPLED® Low Current LED", "green", "", 
"LED5", "LG_T679-E1F1-1", "LG_T679-E1F1-1", "PLCC2", "LC TOPLED® Low Current LED", "green", "", 
"Q1", "", "MOSFET-NREFLOW", "SOT23", "N-Channel Mosfet", "", "", 
"Q2", "", "MOSFET-NREFLOW", "SOT23", "N-Channel Mosfet", "", "", 
"Q3", "", "MOSFET-NREFLOW", "SOT23", "N-Channel Mosfet", "", "", 
"Q4", "", "MOSFET-NREFLOW", "SOT23", "N-Channel Mosfet", "", "", 
"R1", "2.2K", "R-US_R0603", "R0603", "RESISTOR, American symbol", "", "", 
"R2", "100", "R-US_R0805", "R0805", "RESISTOR, American symbol", "", "", 
"R3", "100", "R-US_R0805", "R0805", "RESISTOR, American symbol", "", "", 
"R4", "2.2K", "R-US_R0603", "R0603", "RESISTOR, American symbol", "", "", 
"R5", "2.2K", "R-US_R0603", "R0603", "RESISTOR, American symbol", "", "", 
"R6", "2.2K", "R-US_R0603", "R0603", "RESISTOR, American symbol", "", "", 
"R7", "330", "R-US_R0603", "R0603", "RESISTOR, American symbol", "", "", 
"RLED1", "330", "RESISTOR0603-RES", "0603-RES", "Resistor", "", "", 
"T1", "TEMT1020", "TEMT1020", "TEMT1020", "", "", "", 
"T2", "TEMT1020", "TEMT1020", "TEMT1020", "", "", "", 
"T3", "TEMT1020", "TEMT1020", "TEMT1020", "", "", "", 
"U$1", "ATTINY1634", "ATTINY1634", "SOIC20", "", "", "", 
"Y1", "12MHz", "CRYSTAL5X3", "CRYSTAL-SMD-5X3", "Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534", "", "", 
